ZMiner,pioneer,30,30,713,34.58 MB
ZMiner,pioneer,30,25,804,41.10 MB
ZMiner,pioneer,30,20,1054,50.34 MB
ZMiner,pioneer,30,15,1429,63.18 MB
ZMiner,pioneer,30,10,2127,120.42 MB
ZMiner,aslgt,2147483647,30,11068,1068.42 MB
ZMiner,aslgt,2147483647,25,15308,1526.29 MB
ZMiner,aslgt,2147483647,20,24279,2289.11 MB
ZMiner,aslgt,2147483647,15,45792,4279.44 MB
ZMiner,aslgt,2147483647,10,121062,11141.81 MB
ZMiner,context,30,60,1852,399.01 MB
ZMiner,context,30,55,4604,1242.87 MB
ZMiner,context,30,50,6943,1816.63 MB
ZMiner,context,30,45,21354,5496.15 MB
ZMiner,context,30,40,83108,23976.47 MB
ZMiner,context,30,35,246693,70333.43 MB
ZMiner,hepatitis,2147483647,60,13069,1674.08 MB
ZMiner,hepatitis,2147483647,55,24126,4362.55 MB
ZMiner,hepatitis,2147483647,50,65267,16964.53 MB
ZMiner,hepatitis,2147483647,45,176084,52822.99 MB
ZMiner,hepatitis,2147483647,40,544459,167872.03 MB
ZMiner,hepatitis,2147483647,35,2154203,592547.22 MB
ZMiner,diabetes,30,60,4396,711.31 MB
ZMiner,diabetes,30,55,4899,820.23 MB
ZMiner,diabetes,30,50,7156,1246.29 MB
ZMiner,diabetes,30,45,12225,2471.66 MB
ZMiner,diabetes,30,40,18291,4432.17 MB
ZMiner,diabetes,30,35,25745,6600.43 MB
ZMiner,smarthome,30,60,7513,2118.59 MB
ZMiner,smarthome,30,55,14915,4639.48 MB
ZMiner,smarthome,30,50,25298,7967.70 MB
ZMiner,smarthome,30,45,41208,13045.01 MB
ZMiner,smarthome,30,40,76278,23352.62 MB
ZMiner,smarthome,30,35,139460,38737.32 MB
ZMiner,smarthome,30,30,290204,74183.69 MB